salesid,listid,sellerid,buyerid,eventid,dateid,qtysold,pricepaid,commission,saletime
3362,3634,19120,12008,6074,1893,2,94.00,14.10,2008-03-08 01:08:07
1299,1373,81,11092,250,1894,4,508.00,76.20,2008-03-09 08:31:31
2128,2281,39106,10038,5147,1894,2,306.00,45.90,2008-03-09 01:58:23
2300,2473,46588,11181,6908,1894,1,114.00,17.10,2008-03-09 10:35:35
3422,3698,13294,2939,3623,1894,3,690.00,103.50,2008-03-09 03:59:47
3684,3985,2485,1521,1298,1894,2,454.00,68.10,2008-03-09 02:42:28
792,809,17979,8204,496,1895,1,92.00,13.80,2008-03-10 02:36:49
1629,1744,36059,12923,3912,1895,2,372.00,55.80,2008-03-10 07:36:37
1736,1843,32926,8479,7895,1895,1,131.00,19.65,2008-03-10 03:14:35
2170,2329,43302,14436,3368,1895,1,71.00,10.65,2008-03-10 04:28:14
2689,2896,6439,34278,3431,1895,1,57.00,8.55,2008-03-10 06:05:46
3232,3473,2722,9636,5295,1895,4,268.00,40.20,2008-03-10 07:58:29
3664,3959,7170,630,24,1895,2,84.00,12.60,2008-03-10 01:43:55
3666,3963,7696,32639,6387,1895,2,450.00,67.50,2008-03-10 01:50:20
542,547,1386,8504,1041,1896,2,74.00,11.10,2008-03-11 11:47:07
390,390,42100,11637,2145,1897,2,250.00,37.50,2008-03-12 06:27:39
2417,2582,31530,7862,82,1897,1,193.00,28.95,2008-03-12 04:53:02
2601,2788,31131,35254,4332,1897,2,430.00,64.50,2008-03-12 01:54:29
3231,3473,2722,10987,5295,1897,1,67.00,10.05,2008-03-12 07:55:26
3747,4051,18135,1882,5680,1897,2,178.00,26.70,2008-03-12 05:27:35
1142,1192,5748,30915,8537,1898,1,108.00,16.20,2008-03-13 08:48:32
2066,2217,42102,1285,8234,1898,2,464.00,69.60,2008-03-13 09:40:34
3654,3947,927,6563,3103,1898,2,410.00,61.50,2008-03-13 01:08:50
1503,1585,24831,15212,4111,1899,1,170.00,25.50,2008-03-14 11:31:13
2637,2836,38675,23438,5264,1899,3,519.00,77.85,2008-03-14 03:27:03
304,308,6829,2326,6617,1900,2,350.00,52.50,2008-03-15 06:20:59
1393,1477,26200,41751,7704,1900,4,212.00,31.80,2008-03-15 02:26:20
2618,2807,44356,5392,237,1900,1,207.00,31.05,2008-03-15 02:34:39
2964,3160,39131,9120,6281,1900,2,96.00,14.40,2008-03-15 07:39:14
3023,3219,18837,10672,2610,1900,3,156.00,23.40,2008-03-15 10:02:42
3347,3621,7778,24816,248,1900,1,242.00,36.30,2008-03-15 12:26:19
456,454,33066,4682,4379,1901,2,60.00,9.00,2008-03-16 02:38:22
830,847,45414,3726,3726,1901,1,39.00,5.85,2008-03-16 06:04:35
934,943,7764,2408,6585,1901,4,852.00,127.80,2008-03-16 03:34:57
1524,1612,8721,729,61,1901,1,249.00,37.35,2008-03-16 01:30:04
1539,1632,25385,13020,1093,1901,1,202.00,30.30,2008-03-16 02:32:21
3746,4051,18135,5042,5680,1901,1,89.00,13.35,2008-03-16 05:25:46
626,632,4333,12871,5239,1902,1,26.00,3.90,2008-03-17 09:23:24
933,943,7764,2597,6585,1902,1,213.00,31.95,2008-03-17 03:12:37
954,960,4582,16566,3145,1902,2,460.00,69.00,2008-03-17 04:32:58
1276,1344,14496,4941,3239,1902,1,89.00,13.35,2008-03-17 06:18:31
1774,1894,35598,28207,2262,1902,4,424.00,63.60,2008-03-17 05:30:15
3040,3244,16928,3421,5376,1902,4,204.00,30.60,2008-03-17 10:46:48
3203,3435,34760,17450,1933,1902,3,168.00,25.20,2008-03-17 06:47:56
1940,2090,30432,28127,3325,1903,2,250.00,37.50,2008-03-18 01:56:26
2962,3160,39131,11640,6281,1903,1,48.00,7.20,2008-03-18 07:34:29
3691,3993,945,38,1687,1903,2,338.00,50.70,2008-03-18 03:08:12
1364,1438,30671,18126,5077,1904,4,324.00,48.60,2008-03-19 12:42:50
1492,1575,40869,15347,5237,1904,2,106.00,15.90,2008-03-19 10:38:34
2412,2575,40564,11692,5900,1904,1,96.00,14.40,2008-03-19 04:25:16
2949,3151,45583,46158,2288,1904,1,165.00,24.75,2008-03-19 06:55:51
306,308,6829,6276,6617,1905,4,700.00,105.00,2008-03-20 06:41:33
423,425,15188,12001,7215,1905,1,172.00,25.80,2008-03-20 10:25:14
768,783,10768,9636,2649,1905,4,616.00,92.40,2008-03-20 11:34:43
950,955,20300,1932,7352,1905,4,636.00,95.40,2008-03-20 04:25:56
2093,2240,49602,35476,7578,1905,4,484.00,72.60,2008-03-20 11:25:27
3404,3685,46486,9534,6940,1905,1,61.00,9.15,2008-03-20 03:13:33
3420,3698,13294,12201,3623,1905,1,230.00,34.50,2008-03-20 03:56:51
3613,3898,28929,2902,2680,1905,1,167.00,25.05,2008-03-20 11:30:46
3729,4026,11319,19134,5096,1905,2,390.00,58.50,2008-03-20 04:33:47
3757,4058,1382,422,7743,1905,2,44.00,6.60,2008-03-20 05:48:44
139,147,44950,3773,8764,1906,4,956.00,143.40,2008-03-21 02:25:17
955,960,4582,19670,3145,1906,3,690.00,103.50,2008-03-21 04:42:23
1698,1802,15999,28012,1636,1906,2,368.00,55.20,2008-03-21 12:56:39
1804,1918,31220,1993,1129,1906,2,292.00,43.80,2008-03-21 06:51:47
2034,2178,44551,19715,2677,1906,1,40.00,6.00,2008-03-21 07:06:47
3123,3341,48626,40708,4168,1906,1,228.00,34.20,2008-03-21 03:42:39
3150,3377,18670,13901,3875,1906,2,500.00,75.00,2008-03-21 04:43:03
41,42,14734,11523,5322,1907,2,156.00,23.40,2008-03-22 07:37:20
154,162,27703,46451,2906,1907,3,426.00,63.90,2008-03-22 05:21:40
165,168,8163,8489,1303,1907,1,172.00,25.80,2008-03-22 07:48:04
935,943,7764,7380,6585,1907,3,639.00,95.85,2008-03-22 03:39:07
1116,1151,3781,8198,6985,1907,2,482.00,72.30,2008-03-22 06:45:10
2064,2214,34097,25052,1165,1907,2,212.00,31.80,2008-03-22 09:32:31
3183,3417,37369,21963,7114,1907,2,144.00,21.60,2008-03-22 06:04:12
3462,3740,33818,36036,7103,1907,2,448.00,67.20,2008-03-22 05:28:58
3595,3880,5421,35188,8395,1907,2,258.00,38.70,2008-03-22 11:05:39
138,147,44950,5440,8764,1908,1,239.00,35.85,2008-03-23 02:07:18
2343,2508,29551,2701,710,1908,2,276.00,41.40,2008-03-23 12:50:12
2461,2638,4386,16297,5892,1908,1,167.00,25.05,2008-03-23 07:28:14
3372,3658,21503,5042,7362,1908,1,79.00,11.85,2008-03-23 01:26:49
3421,3698,13294,14718,3623,1908,2,460.00,69.00,2008-03-23 03:58:35
455,453,49898,37978,3733,1909,1,89.00,13.35,2008-03-24 02:37:36
1108,1142,48748,24615,5746,1909,1,241.00,36.15,2008-03-24 06:24:07
1455,1533,308,31427,2176,1909,3,495.00,74.25,2008-03-24 07:21:42
1951,2097,33908,24449,8536,1909,2,434.00,65.10,2008-03-24 03:05:31
2039,2183,44616,4888,5714,1909,2,126.00,18.90,2008-03-24 07:19:37
2460,2638,4386,16999,5892,1909,4,668.00,100.20,2008-03-24 07:19:07
529,532,12532,30480,1623,1952,1,109.00,16.35,2008-05-06 09:44:54
555,560,33136,3504,8290,1952,1,105.00,15.75,2008-05-06 01:26:49
1902,2038,43206,20012,7049,1952,4,660.00,99.00,2008-05-06 12:18:52
2072,2221,12408,16415,927,1952,1,233.00,34.95,2008-05-06 09:59:12
2180,2340,5023,6453,5488,1952,3,366.00,54.90,2008-05-06 04:53:59
2233,2407,47853,33337,4195,1952,1,178.00,26.70,2008-05-06 06:48:54
3523,3802,4047,32328,6077,1952,1,197.00,29.55,2008-05-06 08:00:36
3667,3964,39097,14141,7525,1952,2,166.00,24.90,2008-05-06 01:55:13
3673,3971,37401,14718,7574,1952,2,350.00,52.50,2008-05-06 02:15:09
133,143,23663,6488,7590,1953,1,54.00,8.10,2008-05-07 12:58:33
391,393,22222,27614,7899,1953,2,170.00,25.50,2008-05-07 06:36:16
514,517,29844,2597,8294,1953,1,89.00,13.35,2008-05-07 08:48:52
801,820,45689,5439,5178,1953,2,196.00,29.40,2008-05-07 03:58:28
965,968,8191,12871,2451,1953,1,68.00,10.20,2008-05-07 05:54:44
1930,2072,30846,25920,1099,1953,1,203.00,30.45,2008-05-07 01:21:57
2193,2365,47405,8040,4729,1953,1,92.00,13.80,2008-05-07 05:28:16
2535,2718,25753,5733,1623,1953,1,72.00,10.80,2008-05-07 11:07:15
2748,2955,25769,12214,1737,1953,1,91.00,13.65,2008-05-07 09:13:57
3065,3280,23302,25893,8307,1954,2,136.00,20.40,2008-05-08 12:44:57
505,509,39445,5873,6802,1955,2,326.00,48.90,2008-05-09 07:25:38
2089,2235,8739,21593,8569,1955,1,191.00,28.65,2008-05-09 11:18:50
2708,2911,38735,31691,6417,1955,4,556.00,83.40,2008-05-09 06:46:06
2960,3159,20393,2849,1785,1955,2,162.00,24.30,2008-05-09 07:32:57
3456,3734,21517,2146,3719,1955,4,472.00,70.80,2008-05-09 05:20:26
3497,3768,3102,9120,4681,1955,2,376.00,56.40,2008-05-09 06:48:34
3674,3971,37401,16675,7574,1955,1,175.00,26.25,2008-05-09 02:21:01
126,136,266,8241,5232,1956,2,206.00,30.90,2008-05-10 10:54:17
572,578,23902,70,4722,1956,2,434.00,65.10,2008-05-10 03:09:23
760,778,27199,29891,1581,1956,3,327.00,49.05,2008-05-10 10:46:46
1205,1256,14656,3928,7862,1956,2,440.00,66.00,2008-05-10 01:37:57
1745,1857,46611,5158,462,1956,1,152.00,22.80,2008-05-10 03:55:56
1777,1895,35204,19155,8748,1956,1,146.00,21.90,2008-05-10 05:44:10
1915,2056,13271,787,8350,1956,4,324.00,48.60,2008-05-10 12:40:31
3246,3488,42035,9622,1107,1956,1,202.00,30.30,2008-05-10 08:32:52
114,130,18520,29467,4708,1957,3,609.00,91.35,2008-05-11 08:22:53
219,233,22351,12148,5174,1957,4,972.00,145.80,2008-05-11 04:32:10
246,257,7181,5292,2249,1957,2,244.00,36.60,2008-05-11 09:00:17
483,480,17096,26489,4688,1957,1,76.00,11.40,2008-05-11 05:00:25
571,578,23902,1065,4722,1957,3,651.00,97.65,2008-05-11 03:05:37
1003,1010,16781,13656,918,1957,2,330.00,49.50,2008-05-11 09:17:46
2556,2745,11476,4527,660,1957,2,438.00,65.70,2008-05-11 12:04:38
2692,2900,11693,9379,7270,1957,1,62.00,9.30,2008-05-11 06:14:25
2961,3159,20393,4220,1785,1957,1,81.00,12.15,2008-05-11 07:33:30
3455,3734,21517,3996,3719,1957,2,236.00,35.40,2008-05-11 05:15:54
3671,3969,33836,1277,5357,1957,2,416.00,62.40,2008-05-11 02:09:26
603,610,29755,11252,4274,1958,3,276.00,41.40,2008-05-12 06:31:23
996,1005,21818,256,5538,1958,2,192.00,28.80,2008-05-12 08:47:18
1461,1544,39851,27764,4639,1958,1,234.00,35.10,2008-05-12 07:59:36
1680,1779,14171,14050,2937,1958,1,244.00,36.60,2008-05-12 11:18:18
2508,2680,37228,8241,2074,1958,2,282.00,42.30,2008-05-12 10:07:20
2803,2998,38407,21498,7214,1958,2,362.00,54.30,2008-05-12 11:58:15
3738,4040,697,14643,6474,1958,4,804.00,120.60,2008-05-12 04:55:17
220,233,22351,14163,5174,1959,1,243.00,36.45,2008-05-13 05:00:49
2203,2374,40594,14111,3174,1959,1,227.00,34.05,2008-05-13 05:45:38
134,143,23663,11694,7590,1960,2,108.00,16.20,2008-05-14 01:05:12
475,471,36952,38240,4729,1960,2,398.00,59.70,2008-05-14 04:12:47
592,599,18243,7888,7218,1960,2,366.00,54.90,2008-05-14 05:41:47
715,741,45457,6455,6039,1960,2,334.00,50.10,2008-05-14 06:07:16
913,925,12860,9733,7049,1960,4,780.00,117.00,2008-05-14 01:38:51
915,925,12860,9994,7049,1960,2,390.00,58.50,2008-05-14 01:48:09
1370,1443,2450,2584,5273,1960,2,458.00,68.70,2008-05-14 01:03:10
1703,1806,34445,4289,2548,1960,3,579.00,86.85,2008-05-14 01:06:28
2097,2242,42429,28526,7324,1960,2,316.00,47.40,2008-05-14 11:49:40
2709,2911,38735,36091,6417,1960,2,278.00,41.70,2008-05-14 06:46:15
2809,3003,47329,28127,222,1960,2,452.00,67.80,2008-05-14 12:14:21
244,257,7181,8879,2249,1961,3,366.00,54.90,2008-05-15 07:53:27
556,560,33136,11219,8290,1961,2,210.00,31.50,2008-05-15 01:28:22
914,925,12860,10231,7049,1961,1,195.00,29.25,2008-05-15 01:39:01
967,970,33561,41360,4724,1961,1,158.00,23.70,2008-05-15 06:14:59
2450,2624,43932,21417,5717,1961,4,504.00,75.60,2008-05-15 06:42:18
2911,3105,19274,7853,2721,1961,2,376.00,56.40,2008-05-15 05:07:38
3216,3456,45911,28830,6301,1961,1,77.00,11.55,2008-05-15 07:20:56
3522,3802,4047,39235,6077,1961,2,394.00,59.10,2008-05-15 07:56:07
209,224,16409,3504,7214,1962,1,109.00,16.35,2008-05-16 03:10:55
995,1005,21818,3616,5538,1962,1,96.00,14.40,2008-05-16 08:42:03
1704,1806,34445,6424,2548,1962,2,386.00,57.90,2008-05-16 01:07:57
1932,2072,30846,33382,1099,1962,4,812.00,121.80,2008-05-16 01:25:40
2646,2841,11921,22222,4940,1962,2,138.00,20.70,2008-05-16 04:01:24
2728,2939,1461,41487,6669,1962,1,82.00,12.30,2008-05-16 08:12:11
3044,3250,36100,23491,4641,1962,2,236.00,35.40,2008-05-16 10:50:55
530,532,12532,39305,1623,1963,3,327.00,49.05,2008-05-17 09:45:30
800,820,45689,13994,5178,1963,4,392.00,58.80,2008-05-17 03:55:31
966,970,33561,43245,4724,1963,2,316.00,47.40,2008-05-17 05:58:41
1559,1661,31096,36232,8384,1963,2,352.00,52.80,2008-05-17 04:03:01
2379,2546,42662,4557,4528,1963,1,185.00,27.75,2008-05-17 02:32:22
2448,2624,43932,22968,5717,1963,3,378.00,56.70,2008-05-17 06:34:05
773,787,8904,26982,8003,1964,1,212.00,31.80,2008-05-18 12:09:41
2536,2718,25753,14358,1623,1964,3,216.00,32.40,2008-05-18 11:14:45
2691,2900,11693,15686,7270,1964,2,124.00,18.60,2008-05-18 06:06:09
2909,3105,19274,10573,2721,1964,3,564.00,84.60,2008-05-18 05:03:00
3045,3250,36100,25747,4641,1964,1,118.00,17.70,2008-05-18 10:51:49
3548,3835,8810,7225,8389,1964,4,896.00,134.40,2008-05-18 09:14:19
3009,3204,11979,28044,938,1909,1,156.00,23.40,2008-03-24 09:31:00
3037,3243,5514,7902,5332,1909,2,326.00,48.90,2008-03-24 10:34:24
3346,3621,7778,32095,248,1909,3,726.00,108.90,2008-03-24 12:26:08
3447,3724,34064,31670,5437,1909,2,176.00,26.40,2008-03-24 04:53:06
42,42,14734,13886,5322,1910,1,78.00,11.70,2008-03-25 08:17:45
93,116,43314,497,8675,1910,2,476.00,71.40,2008-03-25 03:33:14
3367,3645,10113,12201,3006,1910,1,68.00,10.20,2008-03-25 01:18:37
3610,3896,8629,14435,4624,1910,1,43.00,6.45,2008-03-25 11:29:22
609,618,48778,22130,1860,1911,4,512.00,76.80,2008-03-26 07:30:24
1800,1914,40528,32855,1990,1911,4,520.00,78.00,2008-03-26 06:41:58
2036,2178,44551,23835,2677,1911,4,160.00,24.00,2008-03-26 07:09:18
2341,2507,18587,14160,2780,1911,2,488.00,73.20,2008-03-26 12:49:31
2342,2507,18587,13999,2780,1911,1,244.00,36.60,2008-03-26 12:49:35
3039,3244,16928,11322,5376,1911,3,153.00,22.95,2008-03-26 10:35:46
3122,3341,48626,44608,4168,1911,4,912.00,136.80,2008-03-26 03:41:37
707,730,18855,8199,6916,1912,2,500.00,75.00,2008-03-27 05:42:51
1682,1782,13581,21785,6349,1912,2,246.00,36.90,2008-03-27 11:35:02
2411,2575,40564,18592,5900,1912,4,384.00,57.60,2008-03-27 04:22:31
402,402,17144,13022,7163,1913,1,65.00,9.75,2008-03-28 08:11:04
948,949,24803,28690,1165,1913,4,840.00,126.00,2008-03-28 04:14:37
1365,1438,30671,25624,5077,1913,2,162.00,24.30,2008-03-28 12:48:21
1372,1446,33747,13693,8685,1913,1,71.00,10.65,2008-03-28 01:09:46
2955,3155,40825,2170,6529,1913,1,139.00,20.85,2008-03-28 07:11:51
894,908,35260,1640,6006,1914,4,192.00,28.80,2008-03-29 12:24:32
1119,1154,16554,12735,2084,1914,2,196.00,29.40,2008-03-29 06:52:22
1505,1585,24831,28105,4111,1914,6,1020.00,153.00,2008-03-29 11:36:20
3022,3219,18837,21976,2610,1914,2,104.00,15.60,2008-03-29 10:02:25
3151,3377,18670,20334,3875,1914,1,250.00,37.50,2008-03-29 04:43:27
3154,3381,6056,873,230,1914,1,52.00,7.80,2008-03-29 04:45:57
3758,4058,1382,8303,7743,1914,1,22.00,3.30,2008-03-29 05:49:28
341,343,16451,32974,2064,1915,2,402.00,60.30,2008-03-30 11:58:06
512,516,4567,6314,5196,1915,2,456.00,68.40,2008-03-30 08:41:58
951,955,20300,10214,7352,1915,1,159.00,23.85,2008-03-30 04:27:43
1202,1251,41859,20193,8343,1915,4,960.00,144.00,2008-03-30 01:04:08
1356,1429,46548,2298,2558,1915,4,468.00,70.20,2008-03-30 12:23:26
1950,2097,33908,29620,8536,1915,1,217.00,32.55,2008-03-30 03:05:04
2094,2240,49602,43436,7578,1915,1,121.00,18.15,2008-03-30 11:31:30
2183,2344,33712,18545,7550,1915,3,153.00,22.95,2008-03-30 05:00:42
2416,2582,31530,22555,82,1915,2,386.00,57.90,2008-03-30 04:43:05
2682,2890,23479,4447,6077,1915,4,620.00,93.00,2008-03-30 05:49:53
3105,3322,37784,21976,5140,1915,2,386.00,57.90,2008-03-30 02:49:45
3370,3652,45056,3837,6349,1915,1,183.00,27.45,2008-03-30 01:21:18
3577,3861,4124,5072,1424,1915,1,110.00,16.50,2008-03-30 10:18:16
1048,1064,34957,11548,2056,1916,1,155.00,23.25,2008-03-31 01:01:01
1248,1312,29148,26597,2957,1916,4,160.00,24.00,2008-03-31 04:21:36
1308,1382,26146,10216,4255,1916,2,258.00,38.70,2008-03-31 09:11:17
1973,2124,4003,9379,113,1916,1,150.00,22.50,2008-03-31 04:12:23
2035,2178,44551,27505,2677,1916,2,80.00,12.00,2008-03-31 07:06:50
3371,3652,45056,4375,6349,1916,2,366.00,54.90,2008-03-31 01:26:36
94,116,43314,5955,8675,1917,1,238.00,35.70,2008-04-01 03:38:43
204,218,48129,20007,7895,1917,1,82.00,12.30,2008-04-01 02:34:51
537,538,30986,2584,1222,1917,2,260.00,39.00,2008-04-01 10:51:56
610,618,48778,27396,1860,1917,1,128.00,19.20,2008-04-01 07:34:49
1366,1438,30671,28804,5077,1917,1,81.00,12.15,2008-04-01 12:48:50
1791,1907,13153,5873,2173,1917,2,108.00,16.20,2008-04-01 06:19:13
2928,3124,24183,29358,6536,1917,3,705.00,105.75,2008-04-01 05:49:43
2929,3124,24183,29718,6536,1917,1,235.00,35.25,2008-04-01 05:54:42
3361,3634,19120,32420,6074,1917,1,47.00,7.05,2008-04-01 01:04:54
3410,3690,40988,14656,6219,1917,1,77.00,11.55,2008-04-01 03:38:31
3524,3803,22316,2425,3634,1917,1,96.00,14.40,2008-04-01 08:07:06
240,251,13735,655,974,1918,4,648.00,97.20,2008-04-02 07:25:02
353,351,36019,10332,2718,1918,3,63.00,9.45,2008-04-02 01:30:03
511,516,4567,8489,5196,1918,1,228.00,34.20,2008-04-02 08:39:30
670,681,42448,6578,5143,1918,2,316.00,47.40,2008-04-02 02:16:42
1144,1193,7193,34255,5224,1918,2,302.00,45.30,2008-04-02 08:55:14
2462,2638,4386,24523,5892,1918,2,334.00,50.10,2008-04-02 07:29:03
3038,3243,5514,15035,5332,1918,4,652.00,97.80,2008-04-02 10:35:42
3265,3514,7854,14846,6038,1918,2,446.00,66.90,2008-04-02 09:21:12
576,581,20536,3616,230,1919,1,212.00,31.80,2008-04-03 03:40:20
621,629,34057,12152,1543,1919,2,136.00,20.40,2008-04-03 09:01:06
1600,1709,25994,12395,3755,1919,2,80.00,12.00,2008-04-03 06:09:41
2547,2730,41850,2458,3207,1919,1,162.00,24.30,2008-04-03 11:46:50
2963,3160,39131,24982,6281,1919,4,192.00,28.80,2008-04-03 07:36:07
3219,3460,47270,23747,5500,1919,4,84.00,12.60,2008-04-03 07:37:40
3470,3748,780,13607,4309,1919,1,27.00,4.05,2008-04-03 05:52:39
2655,2856,34457,20031,3203,1920,1,33.00,4.95,2008-04-04 04:15:49
2638,2836,38675,42186,5264,1921,1,173.00,25.95,2008-04-05 03:31:39
3260,3511,7956,9100,1372,1921,2,300.00,45.00,2008-04-05 09:09:13
3745,4051,18135,21882,5680,1921,4,356.00,53.40,2008-04-05 05:16:29
406,404,38104,8907,1335,1922,5,805.00,120.75,2008-04-06 08:39:57
425,425,15188,26131,7215,1922,2,344.00,51.60,2008-04-06 10:29:25
490,491,25610,30342,1853,1922,1,224.00,33.60,2008-04-06 05:50:02
895,908,35260,7941,6006,1922,2,96.00,14.40,2008-04-06 12:29:40
2215,2384,21168,32219,5740,1922,1,174.00,26.10,2008-04-06 06:07:43
3010,3204,11979,39047,938,1922,2,312.00,46.80,2008-04-06 09:33:50
3048,3254,24797,5632,3795,1922,1,149.00,22.35,2008-04-06 11:13:44
3153,3381,6056,7902,230,1922,2,104.00,15.60,2008-04-06 04:45:20
401,402,17144,21386,7163,1923,4,260.00,39.00,2008-04-07 08:09:41
1115,1151,3781,21178,6985,1923,4,964.00,144.60,2008-04-07 06:43:25
1152,1201,983,9453,6077,1923,2,124.00,18.60,2008-04-07 09:26:57
1315,1385,17051,3911,361,1923,1,205.00,30.75,2008-04-07 09:58:38
1531,1624,25246,11454,2558,1923,2,150.00,22.50,2008-04-07 01:58:38
2041,2183,44616,16394,5714,1923,4,252.00,37.80,2008-04-07 07:31:21
221,233,22351,18855,5174,1965,2,486.00,72.90,2008-05-19 05:16:13
473,470,17365,10216,3864,1965,2,430.00,64.50,2008-05-19 04:10:57
717,743,6621,24584,2233,1965,4,300.00,45.00,2008-05-19 06:42:34
854,867,4338,7888,651,1965,2,460.00,69.00,2008-05-19 07:58:41
1462,1544,39851,34014,4639,1965,2,468.00,70.20,2008-05-19 08:01:55
2331,2500,34787,9056,1562,1965,1,238.00,35.70,2008-05-19 12:22:00
346,347,18512,26982,2925,1966,1,80.00,12.00,2008-05-20 12:35:44
436,435,4198,38403,4997,1966,1,22.00,3.30,2008-05-20 12:06:58
887,902,18870,28828,601,1966,1,89.00,13.35,2008-05-20 11:44:14
1451,1531,21061,10509,4140,1966,4,584.00,87.60,2008-05-20 07:10:28
1527,1616,24169,1550,7803,1966,4,740.00,111.00,2008-05-20 01:44:36
1570,1672,250,18407,8190,1966,2,140.00,21.00,2008-05-20 04:47:44
1681,1779,14171,20237,2937,1966,2,488.00,73.20,2008-05-20 11:25:38
1820,1938,9451,3726,8000,1966,1,201.00,30.15,2008-05-20 07:35:57
3277,3533,39856,20299,918,1966,2,382.00,57.30,2008-05-20 09:56:09
484,480,17096,34296,4688,1967,3,228.00,34.20,2008-05-21 05:04:06
1094,1121,46978,1771,1706,1967,1,195.00,29.25,2008-05-21 05:21:56
1371,1443,2450,9019,5273,1967,1,229.00,34.35,2008-05-21 01:05:49
1744,1857,46611,14352,462,1967,4,608.00,91.20,2008-05-21 03:53:43
3103,3321,30663,24485,1897,1967,1,126.00,18.90,2008-05-21 02:44:50
237,246,145,3487,5172,1968,1,70.00,10.50,2008-05-22 07:12:50
964,968,8191,25617,2451,1968,2,136.00,20.40,2008-05-22 05:51:29
1885,2017,8757,16435,8743,1968,1,203.00,30.45,2008-05-22 11:30:23
1981,2130,20264,24366,3284,1968,1,211.00,31.65,2008-05-22 04:55:24
3247,3488,42035,19859,1107,1968,4,808.00,121.20,2008-05-22 08:34:16
1327,1397,25501,27486,4997,1969,4,480.00,72.00,2008-05-23 10:38:43
2449,2624,43932,27619,5717,1969,2,252.00,37.80,2008-05-23 06:34:38
2451,2624,43932,27566,5717,1969,1,126.00,18.90,2008-05-23 06:42:43
2910,3105,19274,14243,2721,1969,4,752.00,112.80,2008-05-23 05:04:07
472,470,17365,14416,3864,1970,1,215.00,32.25,2008-05-24 03:59:35
853,867,4338,12001,651,1970,1,230.00,34.50,2008-05-24 07:38:26
1093,1121,46978,4888,1706,1970,2,390.00,58.50,2008-05-24 05:20:26
1883,2010,49315,5182,2284,1970,4,80.00,12.00,2008-05-24 11:25:45
2415,2581,35526,8879,871,1970,3,582.00,87.30,2008-05-24 04:31:55
2713,2917,2807,5406,6811,1970,2,54.00,8.10,2008-05-24 07:01:48
2899,3088,4417,3286,5601,1970,2,354.00,53.10,2008-05-24 04:34:31
3015,3209,44769,4946,5958,1970,2,492.00,73.80,2008-05-24 09:44:31
3318,3590,48977,662,7548,1970,3,144.00,21.60,2008-05-24 11:36:37
317,316,803,45802,8544,1971,2,266.00,39.90,2008-05-25 08:41:27
986,997,40194,2703,8206,1971,1,101.00,15.15,2008-05-25 07:28:38
1560,1662,9405,6554,5919,1971,4,612.00,91.80,2008-05-25 04:03:40
2088,2235,8739,34367,8569,1971,2,382.00,57.30,2008-05-25 11:16:55
2918,3110,42327,10542,493,1971,1,195.00,29.25,2008-05-25 05:25:57
3098,3317,2847,5632,243,1971,1,111.00,16.65,2008-05-25 02:17:07
3749,4053,45111,39373,5357,1971,1,145.00,21.75,2008-05-25 05:34:25
100,120,30866,14474,7562,1972,2,162.00,24.30,2008-05-26 04:55:29
1337,1405,14281,7476,547,1972,4,232.00,34.80,2008-05-26 11:13:49
1863,1976,19207,11094,706,1972,1,162.00,24.30,2008-05-26 10:15:07
2087,2235,8739,35032,8569,1972,4,764.00,114.60,2008-05-26 11:12:45
2526,2703,38088,28842,5952,1972,4,920.00,138.00,2008-05-26 10:54:16
2902,3091,11009,15085,1294,1972,1,141.00,21.15,2008-05-26 04:50:04
3319,3590,48977,2312,7548,1972,4,192.00,28.80,2008-05-26 11:36:53
3395,3677,36236,37431,7847,1972,2,266.00,39.90,2008-05-26 02:34:25
99,120,30866,15779,7562,1973,4,324.00,48.60,2008-05-27 04:55:04
435,435,4198,44459,4997,1973,2,44.00,6.60,2008-05-27 11:56:30
557,560,33136,21335,8290,1973,3,315.00,47.25,2008-05-27 01:44:23
997,1005,21818,12832,5538,1973,4,384.00,57.60,2008-05-27 08:54:14
1742,1855,6087,4881,2687,1973,4,232.00,34.80,2008-05-27 03:35:17
2445,2619,45021,29736,4647,1973,2,264.00,39.60,2008-05-27 06:32:45
2808,3003,47329,39155,222,1973,1,226.00,33.90,2008-05-27 12:11:31
3132,3351,2573,6274,8647,1973,4,192.00,28.80,2008-05-27 04:10:51
3276,3533,39856,26542,918,1973,3,573.00,85.95,2008-05-27 09:54:56
646,656,44777,41796,7525,1974,1,84.00,12.60,2008-05-28 11:27:32
979,988,45574,41796,6318,1974,1,166.00,24.90,2008-05-28 06:46:50
1741,1855,6087,5158,2687,1974,1,58.00,8.70,2008-05-28 03:29:41
2959,3159,20393,19042,1785,1974,4,324.00,48.60,2008-05-28 07:24:47
1118,1153,35487,9229,625,1975,2,454.00,68.10,2008-05-29 06:50:21
1743,1855,6087,6510,2687,1975,2,116.00,17.40,2008-05-29 03:38:30
2181,2340,5023,25340,5488,1975,1,122.00,18.30,2008-05-29 04:57:59
2196,2367,21081,28316,6672,1975,3,606.00,90.90,2008-05-29 05:37:22
2939,3139,28351,32905,3221,1975,2,260.00,39.00,2008-05-29 06:34:27
3089,3310,28672,4127,2737,1975,4,964.00,144.60,2008-05-29 01:44:19
3096,3317,2847,8880,243,1975,2,222.00,33.30,2008-05-29 02:14:27
