listid,sellerid,eventid,dateid,numtickets,priceperticket,totalprice,listtime
223600,45716,2923,1901,5,1709.00,8545.00,2008-03-16 07:31:54
230625,6056,2025,1901,6,1070.00,6420.00,2008-03-16 08:46:51
5767,42734,3473,1902,18,238.00,4284.00,2008-03-17 11:22:02
15458,22936,8037,1902,12,71.00,852.00,2008-03-17 02:06:15
20817,14658,7669,1902,26,195.00,5070.00,2008-03-17 01:46:22
34497,6390,7937,1902,10,149.00,1490.00,2008-03-17 11:38:14
45285,12690,2789,1902,20,350.00,7000.00,2008-03-17 03:23:36
58244,28618,2130,1902,20,256.00,5120.00,2008-03-17 04:48:30
66291,29650,8214,1902,5,344.00,1720.00,2008-03-17 01:11:35
75112,31450,5127,1902,18,232.00,4176.00,2008-03-17 02:00:52
80200,39489,4264,1902,9,86.00,774.00,2008-03-17 05:30:49
87587,35181,5984,1902,16,416.00,6656.00,2008-03-17 07:11:55
98149,40630,5577,1902,10,145.00,1450.00,2008-03-17 07:05:44
104307,45655,4987,1902,3,336.00,1008.00,2008-03-17 11:53:55
114168,49320,1677,1902,16,306.00,4896.00,2008-03-17 01:32:18
119153,7848,6532,1902,18,179.00,3222.00,2008-03-17 09:27:58
127618,6274,5656,1902,24,248.00,5952.00,2008-03-17 12:58:52
132303,27869,4760,1902,12,264.00,3168.00,2008-03-17 08:41:39
139827,28745,3858,1902,8,200.00,1600.00,2008-03-17 10:08:06
144294,10084,6538,1902,5,208.00,1040.00,2008-03-17 01:50:35
154303,3475,6922,1902,10,311.00,3110.00,2008-03-17 03:36:03
157543,31636,4793,1902,5,441.00,2205.00,2008-03-17 08:14:33
164695,2254,7764,1902,6,140.00,840.00,2008-03-17 12:10:47
173220,39816,2583,1902,18,304.00,5472.00,2008-03-17 03:19:48
180620,40068,2385,1902,1,103.00,103.00,2008-03-17 08:25:34
212012,16120,3077,1902,2,1708.00,3416.00,2008-03-17 01:17:54
218154,10991,3949,1902,1,1757.00,1757.00,2008-03-17 08:46:14
224156,48700,7653,1902,6,1606.00,9636.00,2008-03-17 11:23:00
232268,3321,3875,1902,1,1833.00,1833.00,2008-03-17 07:55:26
4993,29412,8012,1903,30,209.00,6270.00,2008-03-18 11:17:10
12444,35739,6536,1903,8,210.00,1680.00,2008-03-18 04:25:38
20877,11472,3914,1903,3,99.00,297.00,2008-03-18 03:25:23
25121,23189,8229,1903,26,122.00,3172.00,2008-03-18 07:28:00
36218,40245,2801,1903,22,276.00,6072.00,2008-03-18 05:53:20
49309,8064,7962,1903,20,103.00,2060.00,2008-03-18 08:08:14
55512,31678,5374,1903,12,335.00,4020.00,2008-03-18 11:05:32
64222,40161,2177,1903,9,473.00,4257.00,2008-03-18 01:28:07
68869,38257,6362,1903,3,435.00,1305.00,2008-03-18 10:39:00
78439,7262,1978,1903,20,166.00,3320.00,2008-03-18 06:25:56
90877,16849,2615,1903,18,239.00,4302.00,2008-03-18 03:51:47
97945,24923,4397,1903,4,476.00,1904.00,2008-03-18 04:38:52
104366,42422,5760,1903,8,201.00,1608.00,2008-03-18 12:17:11
116765,6610,7179,1903,18,452.00,8136.00,2008-03-18 02:19:57
120615,45606,2386,1903,24,213.00,5112.00,2008-03-18 09:52:12
135865,9272,8480,1903,24,335.00,8040.00,2008-03-18 05:07:37
147186,6336,5831,1903,9,116.00,1044.00,2008-03-18 07:25:14
155955,16434,3024,1903,6,474.00,2844.00,2008-03-18 07:30:43
163134,11215,3394,1903,1,260.00,260.00,2008-03-18 10:29:01
172173,40498,4168,1903,8,458.00,3664.00,2008-03-18 04:48:54
205126,43908,1591,1903,3,1318.00,3954.00,2008-03-18 02:58:02
216556,6749,8378,1903,2,2139.00,4278.00,2008-03-18 10:23:11
225320,46779,6247,1903,1,1945.00,1945.00,2008-03-18 06:32:50
231826,31611,1370,1903,2,965.00,1930.00,2008-03-18 08:15:13
3441,12863,6055,1904,10,167.00,1670.00,2008-03-19 10:58:55
9023,20362,8119,1904,22,119.00,2618.00,2008-03-19 10:07:11
19696,1489,4659,1904,12,141.00,1692.00,2008-03-19 11:27:49
29315,34099,8527,1904,6,203.00,1218.00,2008-03-19 09:49:44
37436,16096,1980,1904,20,312.00,6240.00,2008-03-19 06:58:10
45928,16238,4587,1904,22,206.00,4532.00,2008-03-19 02:01:50
52289,42531,5669,1904,22,349.00,7678.00,2008-03-19 07:20:02
58604,8577,3886,1904,6,386.00,2316.00,2008-03-19 01:46:46
66273,8653,3122,1904,4,88.00,352.00,2008-03-19 09:14:43
72345,44914,7666,1904,9,270.00,2430.00,2008-03-19 07:20:27
82307,28285,4969,1904,7,289.00,2023.00,2008-03-19 04:20:58
87941,4545,6074,1904,16,198.00,3168.00,2008-03-19 01:25:10
95622,35831,8037,1904,6,368.00,2208.00,2008-03-19 05:44:40
102081,40040,2743,1904,7,392.00,2744.00,2008-03-19 02:06:42
109219,21184,6006,1904,3,293.00,879.00,2008-03-19 04:43:37
118873,14327,7439,1904,2,449.00,898.00,2008-03-19 03:35:42
127392,13484,1534,1904,22,467.00,10274.00,2008-03-19 11:47:40
131737,21510,5374,1904,14,394.00,5516.00,2008-03-19 11:40:39
137596,15472,1802,1904,7,491.00,3437.00,2008-03-19 01:20:52
143259,25196,4458,1904,16,101.00,1616.00,2008-03-19 08:16:07
147956,33836,474,1904,6,328.00,1968.00,2008-03-19 11:24:02
155708,27749,8610,1904,4,398.00,1592.00,2008-03-19 04:32:55
160644,19195,3277,1904,4,441.00,1764.00,2008-03-19 11:25:36
171396,20349,1509,1904,5,412.00,2060.00,2008-03-19 12:09:30
180138,14608,2039,1904,1,26.00,26.00,2008-03-19 08:58:09
212779,36029,1742,1904,1,1368.00,1368.00,2008-03-19 09:24:42
219064,16328,2906,1904,1,1785.00,1785.00,2008-03-19 10:23:39
225043,40859,3755,1904,8,1517.00,12136.00,2008-03-19 10:18:17
233873,34327,5791,1904,1,429.00,429.00,2008-03-19 08:50:22
10001,36792,7531,1905,3,96.00,288.00,2008-03-20 11:25:06
13235,29231,1575,1905,3,202.00,606.00,2008-03-20 08:32:01
26056,32966,3006,1905,3,155.00,465.00,2008-03-20 10:33:00
30471,34805,6148,1905,1,139.00,139.00,2008-03-20 08:29:44
39938,31102,8023,1905,12,30.00,360.00,2008-03-20 12:32:22
45794,8876,4937,1905,7,169.00,1183.00,2008-03-20 02:46:58
52924,13368,3626,1905,8,143.00,1144.00,2008-03-20 12:31:18
58093,49582,3640,1905,1,207.00,207.00,2008-03-20 10:04:21
63555,39865,6567,1905,7,56.00,392.00,2008-03-20 09:42:49
69316,29193,4683,1905,9,42.00,378.00,2008-03-20 09:12:11
76644,16098,2537,1905,14,228.00,3192.00,2008-03-20 01:17:47
83245,32897,3930,1905,16,28.00,448.00,2008-03-20 06:23:46
93173,31813,1199,1905,6,130.00,780.00,2008-03-20 11:01:30
103985,27712,5204,1905,16,364.00,5824.00,2008-03-20 04:27:28
110146,7557,2686,1905,3,475.00,1425.00,2008-03-20 03:12:31
119336,14890,4587,1905,18,467.00,8406.00,2008-03-20 04:26:57
124722,47877,4884,1905,20,114.00,2280.00,2008-03-20 12:07:26
131345,38921,8151,1905,24,418.00,10032.00,2008-03-20 02:05:40
139881,34257,7838,1905,7,327.00,2289.00,2008-03-20 02:30:27
147175,45872,698,1905,10,154.00,1540.00,2008-03-20 12:44:31
158510,34454,2637,1905,2,35.00,70.00,2008-03-20 12:32:52
165389,13888,7321,1905,5,153.00,765.00,2008-03-20 08:59:01
170589,29712,6682,1905,12,80.00,960.00,2008-03-20 02:51:00
175620,1554,4934,1905,3,44.00,132.00,2008-03-20 09:53:49
206417,26821,8214,1905,8,1958.00,15664.00,2008-03-20 02:33:01
213382,25600,3254,1905,2,1227.00,2454.00,2008-03-20 09:26:12
216805,6890,1199,1905,7,2367.00,16569.00,2008-03-20 05:40:53
225681,30581,7743,1905,1,1583.00,1583.00,2008-03-20 09:37:30
234472,4076,7769,1905,2,1229.00,2458.00,2008-03-20 06:20:37
1887,27417,7232,1906,12,100.00,1200.00,2008-03-21 02:07:18
8233,27551,1298,1906,30,236.00,7080.00,2008-03-21 09:42:56
16574,41223,358,1906,16,45.00,720.00,2008-03-21 09:28:33
23224,20077,7642,1906,20,72.00,1440.00,2008-03-21 07:07:39
30748,16325,6256,1906,7,205.00,1435.00,2008-03-21 01:14:35
41633,38011,2879,1906,12,62.00,744.00,2008-03-21 01:45:35
50589,417,6731,1906,9,318.00,2862.00,2008-03-21 03:17:38
58861,31085,7858,1906,1,20.00,20.00,2008-03-21 03:14:11
66881,41053,6238,1906,10,106.00,1060.00,2008-03-21 03:29:10
73145,12087,2537,1906,4,375.00,1500.00,2008-03-21 07:04:00
79134,6115,656,1906,7,450.00,3150.00,2008-03-21 07:47:06
90740,61,4179,1906,3,332.00,996.00,2008-03-21 02:50:33
99221,6882,2801,1906,10,360.00,3600.00,2008-03-21 06:58:11
107214,14067,4257,1906,20,397.00,7940.00,2008-03-21 03:34:19
114286,47158,5808,1906,3,241.00,723.00,2008-03-21 11:30:18
121138,16133,8276,1906,10,494.00,4940.00,2008-03-21 01:30:27
129556,46610,5293,1906,14,353.00,4942.00,2008-03-21 05:32:33
133334,5456,8467,1906,20,245.00,4900.00,2008-03-21 09:22:13
140906,48423,4500,1906,8,137.00,1096.00,2008-03-21 01:28:02
149193,25309,897,1906,8,182.00,1456.00,2008-03-21 07:51:10
158134,5503,6205,1906,22,153.00,3366.00,2008-03-21 09:21:07
167905,2838,4111,1906,18,484.00,8712.00,2008-03-21 07:21:32
173631,23995,4179,1906,12,462.00,5544.00,2008-03-21 10:22:38
179855,24533,2946,1906,2,421.00,842.00,2008-03-21 06:07:58
208149,7886,2879,1906,8,425.00,3400.00,2008-03-21 05:35:25
217929,33874,3868,1906,2,1786.00,3572.00,2008-03-21 06:40:44
225421,15065,431,1906,2,672.00,1344.00,2008-03-21 03:54:50
235066,9953,3329,1906,4,2306.00,9224.00,2008-03-21 05:03:29
10235,17757,7487,1907,30,199.00,5970.00,2008-03-22 12:17:07
16060,9689,2625,1907,22,211.00,4642.00,2008-03-22 12:38:56
21919,25735,3107,1907,4,77.00,308.00,2008-03-22 10:33:50
31166,39861,7163,1907,7,195.00,1365.00,2008-03-22 09:49:42
38607,34448,1919,1907,7,219.00,1533.00,2008-03-22 03:23:45
42006,7909,4653,1907,2,120.00,240.00,2008-03-22 06:46:26
50328,43019,6254,1907,5,318.00,1590.00,2008-03-22 12:26:19
58071,43026,8014,1907,22,83.00,1826.00,2008-03-22 09:35:50
68194,9053,8467,1907,5,107.00,535.00,2008-03-22 02:33:52
78080,41762,8666,1907,8,282.00,2256.00,2008-03-22 03:15:47
86163,8949,3769,1907,22,206.00,4532.00,2008-03-22 05:59:53
94840,23690,2877,1907,5,133.00,665.00,2008-03-22 08:16:58
100422,43405,2664,1907,6,454.00,2724.00,2008-03-22 02:19:49
112295,20535,6228,1907,6,499.00,2994.00,2008-03-22 09:46:02
119710,5589,7112,1907,3,91.00,273.00,2008-03-22 10:10:57
128475,15061,556,1907,24,346.00,8304.00,2008-03-22 05:43:34
134125,19897,6585,1907,2,89.00,178.00,2008-03-22 06:01:11
137638,15338,6791,1907,22,416.00,9152.00,2008-03-22 07:36:41
149300,49345,5469,1907,9,400.00,3600.00,2008-03-22 12:12:39
154361,6054,358,1907,6,178.00,1068.00,2008-03-22 12:35:40
163242,39951,2653,1907,20,92.00,1840.00,2008-03-22 11:55:17
166936,34449,6785,1907,10,185.00,1850.00,2008-03-22 10:03:52
174166,23827,6953,1907,24,147.00,3528.00,2008-03-22 07:21:13
207477,9641,6984,1907,6,1977.00,11862.00,2008-03-22 12:19:24
217812,2373,1165,1907,2,1595.00,3190.00,2008-03-22 04:46:31
225996,23857,7583,1907,6,1604.00,9624.00,2008-03-22 07:52:08
234179,8468,7140,1907,8,2462.00,19696.00,2008-03-22 02:03:13
8409,10351,3542,1908,12,227.00,2724.00,2008-03-23 12:43:48
18812,3305,4460,1908,6,26.00,156.00,2008-03-23 05:11:54
24262,22832,6833,1908,20,160.00,3200.00,2008-03-23 11:56:34
31456,29454,984,1908,12,308.00,3696.00,2008-03-23 10:45:43
39867,42118,8068,1908,8,261.00,2088.00,2008-03-23 05:25:52
45048,14092,3963,1908,14,272.00,3808.00,2008-03-23 05:45:17
51643,11085,2637,1908,4,301.00,1204.00,2008-03-23 06:44:08
62128,1718,7322,1908,20,485.00,9700.00,2008-03-23 02:25:15
66329,43116,6567,1908,3,398.00,1194.00,2008-03-23 07:28:21
72354,42936,3247,1908,8,64.00,512.00,2008-03-23 09:08:06
84005,24504,7889,1908,20,160.00,3200.00,2008-03-23 07:36:56
90104,2791,1636,1908,6,481.00,2886.00,2008-03-23 12:41:59
97402,13104,5956,1908,3,354.00,1062.00,2008-03-23 03:04:34
102981,29673,3836,1908,4,353.00,1412.00,2008-03-23 05:40:22
114659,37552,3963,1908,8,427.00,3416.00,2008-03-23 03:19:20
121902,17435,7895,1908,14,182.00,2548.00,2008-03-23 06:57:22
130833,47982,3955,1908,6,234.00,1404.00,2008-03-23 06:02:19
138594,24655,8023,1908,18,355.00,6390.00,2008-03-23 04:57:38
143919,1690,7889,1908,20,164.00,3280.00,2008-03-23 11:33:51
153617,14847,1055,1908,7,409.00,2863.00,2008-03-23 12:30:35
157441,48570,7823,1908,7,194.00,1358.00,2008-03-23 12:47:13
164737,47348,2080,1908,9,51.00,459.00,2008-03-23 07:16:57
172246,43988,7466,1908,4,466.00,1864.00,2008-03-23 05:43:48
205331,24485,7352,1908,6,1356.00,8136.00,2008-03-23 12:17:29
215931,17613,656,1908,8,2223.00,17784.00,2008-03-23 08:26:47
221865,47672,4392,1908,4,2166.00,8664.00,2008-03-23 09:03:23
228636,4172,4196,1908,2,2489.00,4978.00,2008-03-23 05:26:13
234111,31071,4196,1908,5,1603.00,8015.00,2008-03-23 04:03:07
5281,46954,4516,1909,5,51.00,255.00,2008-03-24 08:13:09
16918,34031,608,1909,18,117.00,2106.00,2008-03-24 02:07:09
22971,19598,7288,1909,16,89.00,1424.00,2008-03-24 11:21:09
28582,49537,4700,1909,26,176.00,4576.00,2008-03-24 02:35:19
33704,25877,4153,1909,14,279.00,3906.00,2008-03-24 11:57:44
44910,4015,2957,1909,2,241.00,482.00,2008-03-24 07:56:29
50619,19682,1588,1909,3,215.00,645.00,2008-03-24 05:27:26
56321,11229,8295,1909,10,186.00,1860.00,2008-03-24 11:19:53
61995,24155,4294,1909,5,180.00,900.00,2008-03-24 07:54:42
71154,45704,8124,1909,9,137.00,1233.00,2008-03-24 10:00:58
78802,22990,7777,1909,2,157.00,314.00,2008-03-24 06:28:39
84414,30342,3694,1909,7,446.00,3122.00,2008-03-24 03:46:36
95660,20039,6150,1909,24,428.00,10272.00,2008-03-24 05:19:37
99871,49111,1352,1909,14,313.00,4382.00,2008-03-24 06:52:46
105362,20524,1993,1909,1,464.00,464.00,2008-03-24 07:53:46
115360,48333,8731,1909,8,463.00,3704.00,2008-03-24 09:50:54
120448,49429,6205,1909,10,58.00,580.00,2008-03-24 11:55:07
129090,12894,1213,1909,6,116.00,696.00,2008-03-24 03:25:58
132739,42149,5897,1909,1,375.00,375.00,2008-03-24 12:48:12
137018,11654,336,1909,2,48.00,96.00,2008-03-24 03:42:55
152964,38173,1524,1909,4,341.00,1364.00,2008-03-24 10:10:01
160102,48652,1377,1909,10,355.00,3550.00,2008-03-24 10:25:51
165581,15916,1919,1909,10,86.00,860.00,2008-03-24 01:01:00
176202,9670,5656,1909,20,167.00,3340.00,2008-03-24 09:09:33
206370,6972,795,1909,2,1980.00,3960.00,2008-03-24 08:34:15
214836,20050,7743,1909,3,976.00,2928.00,2008-03-24 03:50:03
220236,2585,3312,1909,4,1666.00,6664.00,2008-03-24 07:38:04
227270,5382,431,1909,4,2174.00,8696.00,2008-03-24 06:06:57
4320,36223,1528,1910,28,70.00,1960.00,2008-03-25 12:45:50
11647,14557,5044,1910,16,171.00,2736.00,2008-03-25 04:23:57
15667,32344,7294,1910,6,160.00,960.00,2008-03-25 01:41:32
26532,25702,1960,1910,9,198.00,1782.00,2008-03-25 08:08:17
30383,4856,58,1910,2,176.00,352.00,2008-03-25 03:56:53
36806,1338,7908,1910,10,305.00,3050.00,2008-03-25 11:24:08
43563,44113,7519,1910,4,32.00,128.00,2008-03-25 08:20:36
50978,7208,4163,1910,12,274.00,3288.00,2008-03-25 03:27:48
56977,29033,8297,1910,4,305.00,1220.00,2008-03-25 12:43:36
61924,8535,226,1910,20,101.00,2020.00,2008-03-25 02:42:13
68576,30731,2794,1910,5,150.00,750.00,2008-03-25 01:23:26
76540,28054,6143,1910,7,129.00,903.00,2008-03-25 09:56:29
83098,24259,7616,1910,6,31.00,186.00,2008-03-25 03:20:11
88217,22514,6592,1910,1,342.00,342.00,2008-03-25 03:24:37
93545,44316,2891,1910,14,329.00,4606.00,2008-03-25 11:11:57
101148,8746,6758,1910,2,496.00,992.00,2008-03-25 01:47:44
108556,14402,6038,1910,9,57.00,513.00,2008-03-25 07:07:05
114695,34393,6501,1910,12,153.00,1836.00,2008-03-25 07:28:18
125006,10430,3250,1910,5,95.00,475.00,2008-03-25 06:13:35
134426,23798,1219,1910,8,20.00,160.00,2008-03-25 08:56:23
143764,31517,2686,1910,24,172.00,4128.00,2008-03-25 10:44:57
153848,39382,3953,1910,8,146.00,1168.00,2008-03-25 10:28:51
162565,8136,5672,1910,24,38.00,912.00,2008-03-25 03:30:09
169276,792,612,1910,8,179.00,1432.00,2008-03-25 12:34:53
174428,21052,47,1910,8,187.00,1496.00,2008-03-25 01:16:11
178945,49218,5441,1910,8,363.00,2904.00,2008-03-25 08:38:43
212530,25795,3470,1910,3,2285.00,6855.00,2008-03-25 09:54:38
217040,6702,3553,1910,6,726.00,4356.00,2008-03-25 11:53:42
227772,373,7495,1910,8,1458.00,11664.00,2008-03-25 06:29:23
235143,33888,5904,1910,2,1789.00,3578.00,2008-03-25 08:23:11
8220,14631,2299,1911,18,81.00,1458.00,2008-03-26 11:05:39
12094,20451,8794,1911,8,172.00,1376.00,2008-03-26 10:59:36
19036,29224,3602,1911,20,215.00,4300.00,2008-03-26 10:41:42
24375,23443,8669,1911,1,174.00,174.00,2008-03-26 02:59:38
30830,23600,6790,1911,10,202.00,2020.00,2008-03-26 08:41:22
41074,48543,2354,1911,10,105.00,1050.00,2008-03-26 01:57:51
49950,21411,679,1911,3,196.00,588.00,2008-03-26 05:50:04
58122,23902,1742,1911,14,128.00,1792.00,2008-03-26 11:16:17
64996,11408,8554,1911,9,69.00,621.00,2008-03-26 01:45:42
70455,17365,5946,1911,8,244.00,1952.00,2008-03-26 04:01:17
77938,33561,1644,1911,6,411.00,2466.00,2008-03-26 11:04:24
86652,8168,5981,1911,6,112.00,672.00,2008-03-26 10:45:45
90004,44745,795,1911,8,364.00,2912.00,2008-03-26 06:16:55
95206,33323,6122,1911,8,154.00,1232.00,2008-03-26 08:25:09
100727,34271,5416,1911,3,327.00,981.00,2008-03-26 09:33:58
109171,3393,3103,1911,9,416.00,3744.00,2008-03-26 08:42:11
116354,26940,4501,1911,24,417.00,10008.00,2008-03-26 07:23:05
125021,48533,6584,1911,10,329.00,3290.00,2008-03-26 04:19:14
132294,14821,8185,1911,2,277.00,554.00,2008-03-26 08:41:51
137845,29699,6088,1911,3,226.00,678.00,2008-03-26 07:19:17
145839,5089,7501,1911,24,171.00,4104.00,2008-03-26 02:41:42
157349,22250,3553,1911,6,121.00,726.00,2008-03-26 08:57:05
165031,24292,6669,1911,22,284.00,6248.00,2008-03-26 09:17:54
171057,45351,378,1911,10,88.00,880.00,2008-03-26 02:09:23
179154,1520,698,1911,10,369.00,3690.00,2008-03-26 05:32:05
213480,5461,4065,1911,5,1700.00,8500.00,2008-03-26 09:08:12
218452,15873,4891,1911,6,1293.00,7758.00,2008-03-26 05:52:37
225997,13890,1132,1911,2,755.00,1510.00,2008-03-26 10:51:08
230879,17055,7769,1911,7,1646.00,11522.00,2008-03-26 08:34:43
206,5822,3912,1912,26,217.00,5642.00,2008-03-27 02:52:58
7562,730,7396,1912,18,106.00,1908.00,2008-03-27 01:38:47
13718,33037,6371,1912,24,216.00,5184.00,2008-03-27 06:11:35
22567,36354,2502,1912,26,107.00,2782.00,2008-03-27 01:56:44
36277,27173,6400,1912,2,283.00,566.00,2008-03-27 08:34:35
42082,15761,7746,1912,12,312.00,3744.00,2008-03-27 06:45:25
48200,26826,5750,1912,9,84.00,756.00,2008-03-27 09:43:55
57059,44943,6501,1912,4,320.00,1280.00,2008-03-27 07:55:36
62916,305,6871,1912,6,65.00,390.00,2008-03-27 11:21:55
73045,15325,2733,1912,14,438.00,6132.00,2008-03-27 09:05:58
81283,16086,6983,1912,16,500.00,8000.00,2008-03-27 09:05:03
86799,41629,4462,1912,18,295.00,5310.00,2008-03-27 11:20:21
95249,41195,1807,1912,16,397.00,6352.00,2008-03-27 02:33:45
102568,14840,556,1912,9,409.00,3681.00,2008-03-27 08:23:09
107027,6093,3279,1912,4,417.00,1668.00,2008-03-27 03:10:23
115448,28915,3342,1912,10,88.00,880.00,2008-03-27 10:21:21
120697,26110,5762,1912,6,342.00,2052.00,2008-03-27 06:07:57
126651,25906,2145,1912,22,404.00,8888.00,2008-03-27 05:31:20
137320,45087,8612,1912,2,81.00,162.00,2008-03-27 09:39:59
143587,33926,7312,1912,7,64.00,448.00,2008-03-27 08:26:55
156688,10632,3652,1912,3,500.00,1500.00,2008-03-27 01:05:20
166568,46587,6962,1912,18,123.00,2214.00,2008-03-27 10:25:18
171556,25514,5791,1912,8,66.00,528.00,2008-03-27 07:28:36
178674,4634,6398,1912,4,325.00,1300.00,2008-03-27 09:40:22
212417,910,5585,1912,7,810.00,5670.00,2008-03-27 08:36:48
221078,19151,5789,1912,4,2346.00,9384.00,2008-03-27 09:20:50
225706,22663,3105,1912,4,467.00,1868.00,2008-03-27 01:44:48
234819,4829,173,1912,6,1914.00,11484.00,2008-03-27 05:29:22
10130,37081,7362,1913,18,243.00,4374.00,2008-03-28 10:00:19
19016,15572,3390,1913,18,194.00,3492.00,2008-03-28 02:35:37
27135,4426,5768,1913,28,85.00,2380.00,2008-03-28 12:48:09
34509,22064,5234,1913,22,215.00,4730.00,2008-03-28 05:32:23
40502,39214,6247,1913,8,201.00,1608.00,2008-03-28 10:42:00
44945,39163,3791,1913,10,271.00,2710.00,2008-03-28 11:41:10
51679,28636,378,1913,8,190.00,1520.00,2008-03-28 01:07:23
57259,28215,1298,1913,8,282.00,2256.00,2008-03-28 01:18:50
68452,40036,6417,1913,18,448.00,8064.00,2008-03-28 10:48:21
74680,30836,652,1913,2,349.00,698.00,2008-03-28 10:48:20
82923,16318,1160,1913,8,187.00,1496.00,2008-03-28 01:22:32
91246,23436,524,1913,4,293.00,1172.00,2008-03-28 11:07:03
95785,21581,6595,1913,5,232.00,1160.00,2008-03-28 10:16:34
98948,17136,7818,1913,7,454.00,3178.00,2008-03-28 08:39:33
106666,33964,1473,1913,3,196.00,588.00,2008-03-28 12:20:47
113874,24215,4110,1913,7,355.00,2485.00,2008-03-28 08:42:44
123085,49222,4952,1913,2,28.00,56.00,2008-03-28 12:19:06
131680,18207,1581,1913,24,30.00,720.00,2008-03-28 01:13:18
137263,45710,4168,1913,7,60.00,420.00,2008-03-28 02:26:33
145366,40246,5537,1913,1,339.00,339.00,2008-03-28 04:21:17
152147,49432,3107,1913,8,91.00,728.00,2008-03-28 05:16:02
161381,13259,8397,1913,8,251.00,2008.00,2008-03-28 04:03:49
170350,21845,1366,1913,5,217.00,1085.00,2008-03-28 08:39:17
178732,35981,6039,1913,18,22.00,396.00,2008-03-28 06:51:02
209305,35985,3435,1913,2,1883.00,3766.00,2008-03-28 05:51:51
220314,8794,6228,1913,1,2000.00,2000.00,2008-03-28 07:45:36
225699,39035,7396,1913,8,631.00,5048.00,2008-03-28 10:18:22
178,20825,4576,1914,24,200.00,4800.00,2008-03-29 02:25:50
5370,31155,226,1914,5,123.00,615.00,2008-03-29 02:42:13
16871,12484,7811,1914,26,188.00,4888.00,2008-03-29 05:45:49
22810,46638,7331,1914,30,25.00,750.00,2008-03-29 06:23:42
29753,960,1426,1914,14,43.00,602.00,2008-03-29 09:34:07
36039,43748,7300,1914,3,340.00,1020.00,2008-03-29 04:50:43
45018,34665,6617,1914,22,93.00,2046.00,2008-03-29 01:01:19
50860,22742,3955,1914,5,289.00,1445.00,2008-03-29 05:46:01
58214,36130,4952,1914,3,196.00,588.00,2008-03-29 01:34:43
66920,7367,6369,1914,1,163.00,163.00,2008-03-29 12:42:04
74061,19526,2672,1914,20,266.00,5320.00,2008-03-29 12:59:26
82407,43461,3924,1914,10,245.00,2450.00,2008-03-29 07:59:49
93650,30632,2688,1914,3,280.00,840.00,2008-03-29 08:51:37
103610,28148,3911,1914,3,103.00,309.00,2008-03-29 11:07:51
112704,32128,4619,1914,9,183.00,1647.00,2008-03-29 01:06:20
116792,12201,6875,1914,3,473.00,1419.00,2008-03-29 05:35:05
121061,46067,7082,1914,7,36.00,252.00,2008-03-29 07:50:46
127066,26720,5669,1914,14,25.00,350.00,2008-03-29 05:12:41
132033,33227,6432,1914,8,244.00,1952.00,2008-03-29 08:23:44
137928,45380,4274,1914,6,463.00,2778.00,2008-03-29 09:02:08
141917,36017,1435,1914,4,247.00,988.00,2008-03-29 03:49:53
146274,13224,2666,1914,8,425.00,3400.00,2008-03-29 10:16:12
164836,30767,6859,1914,3,287.00,861.00,2008-03-29 10:49:21
180666,37913,7487,1914,18,319.00,5742.00,2008-03-29 06:06:33
211234,44488,7789,1914,4,1358.00,5432.00,2008-03-29 06:14:04
217404,1928,4655,1914,8,1597.00,12776.00,2008-03-29 06:24:42
219873,12879,6443,1914,3,1295.00,3885.00,2008-03-29 11:41:36
232729,1991,659,1914,6,1494.00,8964.00,2008-03-29 09:14:18
1957,18014,1298,1915,14,114.00,1596.00,2008-03-30 10:53:29
7793,41557,2420,1915,26,223.00,5798.00,2008-03-30 06:04:21
18004,38272,7352,1915,5,31.00,155.00,2008-03-30 01:04:18
28865,31646,1525,1915,18,157.00,2826.00,2008-03-30 06:27:52
36524,40742,404,1915,4,114.00,456.00,2008-03-30 01:19:08
42156,37249,2672,1915,14,281.00,3934.00,2008-03-30 09:01:00
48614,33266,6102,1915,20,250.00,5000.00,2008-03-30 07:47:13
61090,25903,3505,1915,2,458.00,916.00,2008-03-30 02:17:06
69535,30147,8726,1915,6,120.00,720.00,2008-03-30 01:55:41
74085,28269,6484,1915,4,336.00,1344.00,2008-03-30 11:52:49
82151,47548,1608,1915,18,265.00,4770.00,2008-03-30 06:14:10
88506,44060,3391,1915,5,191.00,955.00,2008-03-30 08:17:23
94394,18803,8462,1915,12,435.00,5220.00,2008-03-30 08:45:23
100271,14483,2791,1915,8,236.00,1888.00,2008-03-30 07:34:44
106077,45542,1144,1915,9,349.00,3141.00,2008-03-30 01:12:24
116146,22925,6731,1915,2,42.00,84.00,2008-03-30 07:29:44
121750,20819,2084,1915,16,119.00,1904.00,2008-03-30 09:45:25
129857,29424,3968,1915,5,460.00,2300.00,2008-03-30 08:10:34
138381,24393,8209,1915,1,39.00,39.00,2008-03-30 03:56:59
145860,30812,5768,1915,7,274.00,1918.00,2008-03-30 03:42:02
152723,21112,7608,1915,22,54.00,1188.00,2008-03-30 05:55:05
161869,6442,4173,1915,3,424.00,1272.00,2008-03-30 01:22:47
170727,19671,894,1915,22,370.00,8140.00,2008-03-30 01:27:48
181275,28293,3533,1915,10,159.00,1590.00,2008-03-30 08:20:07
214334,34411,3208,1915,3,1692.00,5076.00,2008-03-30 06:38:09
224963,37113,6569,1915,8,2291.00,18328.00,2008-03-30 09:41:39
